"","name_of_sat","country_of_contractor","users","purpose","class_of_orbit","launch_site","GEO","LEO","MEO","Guiana","Baikonur","Cape","Vandenberg","Xichang","Commercial","Government","Military","Civil","Communication","EObs","TechDev","GPS","SpScience","TechDemo","Martime"
"1","AAUSat-4","Denmark","Civil","Earth Observation","LEO","Guiana Space Center",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2","ABS-2","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"3","ABS-2A","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"4","ABS-3","USA","Commercial","Communications","GEO","Xichang Satellite Launch Center",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"5","ABS-3A","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"6","ABS-4","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"7","ABS-6","USA","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"8","ABS-7","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"9","USA 139","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"10","USA 171","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"11","USA 202","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"12","USA 223","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"13","USA 237","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"14","USA 268","USA","Military","Earth Observation","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"15","USA 235","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"16","USA 246","USA","Military","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"17","Aeneas","USA","Government","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"18","Aerocube 4.5A","USA","Commercial","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"19","Aerocube 4.5B","USA","Commercial","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"20","Aerocube 5A","USA","Commercial","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"21","Aerocube 5B","USA","Commercial","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"22","Aerocube 5C","USA","Commercial","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"23","Aerocube 6A","USA","Commercial","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"24","Aerocube 6B","USA","Commercial","Technology Development","LEO","Dombarovsky Air Base",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"25","Aerocube 7A","USA","Commercial","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
"26","Aerocube 8A","USA","Commercial","Technology Development","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"27","Aerocube 8B","USA","Commercial","Technology Development","LEO","Cape Canaveral",0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"28","Eutelsat 28B","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"29","Afristar","France","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"30","AIM","USA","Government","Earth Observation","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"31","AISat-1","Germany","Government","Communications","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"32","AISSat-1","Canada","Government","Communications","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"33","AISSat-2","Norway/Canada","Government","Communications","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"34","AIST-1","Russia","Civil","Technology Development","LEO","Plesetsk Cosmodrome",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"35","AIST-2","Russia","Civil","Technology Development","LEO","Baikonur Cosmodrome",0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"36","ALiCE","USA","Military","Technology Development","LEO","Vandenberg AFB",0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"37","Alphasat I-XL","France/UK/Germany/Spain","Commercial/Government","Communications/Technology Development","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
"38","Alsat-2A","France/UK/Germany/Spain","Government","Earth Observation","LEO","Satish Dhawan Space Center",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"39","Amazonas-1","France/UK/Germany/Spain","Commercial","Communications","GEO","Baikonur Cosmodrome",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"40","Amazonas-2","France/UK/Germany/Spain","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"41","Amazonas-3","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"42","Amazonas-4A","USA","Commercial","Communications","GEO","Guiana Space Center",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"43","AMC-1","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"44","AMC-10","USA","Commercial","Communications","GEO","Cape Canaveral",1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
